epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.69,1.35783,7.27548,1.06266,0.66959,0.27581,0.30959,0.18952,1.33579,1.72873,1.02692,5.94796e-05,5.94796e-05,5.94796e-05
2,225.062,1.19101,2.51746,1.00936,0.7967,0.4618,0.57101,0.38234,1.152,1.06267,0.99053,0.000119101,0.000119101,0.000119101
3,329.924,1.14525,1.67547,1.00535,0.79618,0.61399,0.69039,0.42836,1.25956,0.96039,1.02596,0.00017854,0.00017854,0.00017854
4,435.322,1.09355,1.26799,0.98684,0.84613,0.72321,0.82298,0.5579,1.13245,0.78145,0.98903,0.000178386,0.000178386,0.000178386
5,540.445,1.07932,1.06092,0.98338,0.81416,0.78189,0.84418,0.58286,1.08312,0.70531,0.9801,0.000177909,0.000177909,0.000177909
6,645.573,1.04239,0.93454,0.97323,0.85414,0.83249,0.90788,0.63816,1.03405,0.65235,0.9688,0.000177297,0.000177297,0.000177297
7,750.173,1.0106,0.86094,0.9624,0.89833,0.82108,0.90785,0.67048,0.9197,0.6327,0.92994,0.000176552,0.000176552,0.000176552
8,855.263,0.98628,0.78422,0.96034,0.86523,0.87917,0.93823,0.67303,0.98097,0.57682,0.93444,0.000175673,0.000175673,0.000175673
9,961.24,0.96598,0.74274,0.95159,0.87436,0.90681,0.93969,0.69762,0.9009,0.5604,0.92587,0.000174663,0.000174663,0.000174663
10,1067.54,0.94348,0.68299,0.94537,0.90946,0.90551,0.9722,0.68315,1.07128,0.56112,0.97487,0.000173523,0.000173523,0.000173523
11,1173.55,0.93971,0.6684,0.95097,0.88381,0.93306,0.96977,0.70492,0.93744,0.53426,0.93655,0.000172255,0.000172255,0.000172255
12,1278.8,0.94557,0.66218,0.94357,0.91097,0.91507,0.97057,0.7192,0.90606,0.51935,0.92036,0.000170861,0.000170861,0.000170861
13,1383.55,0.91032,0.62756,0.93206,0.89461,0.94072,0.97468,0.72203,0.92341,0.51101,0.92262,0.000169343,0.000169343,0.000169343
14,1488.56,0.91484,0.61346,0.939,0.92289,0.94821,0.98045,0.73814,0.90216,0.48562,0.92692,0.000167703,0.000167703,0.000167703
15,1593.89,0.90652,0.59945,0.93728,0.90502,0.96269,0.97245,0.72941,0.89892,0.48328,0.93088,0.000165943,0.000165943,0.000165943
16,1699.31,0.88381,0.58715,0.93553,0.94528,0.95863,0.97973,0.73211,0.91407,0.48164,0.93641,0.000164067,0.000164067,0.000164067
17,1804.76,0.89343,0.57569,0.93203,0.94463,0.96108,0.9848,0.7334,0.91701,0.46436,0.9281,0.000162078,0.000162078,0.000162078
18,1909.31,0.87428,0.54699,0.92348,0.93153,0.95718,0.98229,0.74247,0.8907,0.45778,0.92183,0.000159978,0.000159978,0.000159978
19,2013.91,0.86541,0.53493,0.92333,0.93569,0.94944,0.9828,0.74452,0.86823,0.45843,0.91389,0.000157771,0.000157771,0.000157771
20,2119,0.86411,0.53969,0.9203,0.95987,0.94911,0.9841,0.74227,0.87828,0.45702,0.91872,0.00015546,0.00015546,0.00015546
21,2224.04,0.84776,0.52335,0.91799,0.92705,0.95704,0.98172,0.73091,0.89626,0.45197,0.91651,0.000153048,0.000153048,0.000153048
22,2328.62,0.8449,0.52887,0.9152,0.9374,0.96303,0.98767,0.75324,0.88029,0.44358,0.92211,0.00015054,0.00015054,0.00015054
23,2433.23,0.8421,0.52558,0.91303,0.92,0.96226,0.98156,0.72856,0.94838,0.46866,0.94449,0.000147939,0.000147939,0.000147939
24,2538.41,0.83373,0.5081,0.90917,0.92137,0.96787,0.98188,0.76452,0.84693,0.44232,0.91216,0.00014525,0.00014525,0.00014525
25,2644.9,0.84104,0.50159,0.91013,0.93314,0.97062,0.98063,0.76064,0.83513,0.43498,0.90556,0.000142476,0.000142476,0.000142476
26,2749.28,0.82551,0.49141,0.91058,0.93625,0.97438,0.98414,0.75856,0.84371,0.43029,0.91443,0.000139621,0.000139621,0.000139621
27,2854.4,0.8324,0.49312,0.91172,0.94687,0.9679,0.9826,0.75919,0.82769,0.42362,0.90653,0.000136691,0.000136691,0.000136691
28,2958.05,0.8163,0.47446,0.90181,0.94818,0.95989,0.98453,0.77563,0.79066,0.41369,0.89274,0.000133689,0.000133689,0.000133689
29,3062.66,0.80956,0.47289,0.90274,0.94369,0.96076,0.98487,0.76813,0.82095,0.42589,0.90006,0.000130621,0.000130621,0.000130621
30,3167.02,0.80502,0.47188,0.90487,0.94824,0.96776,0.98561,0.76858,0.80795,0.41125,0.89989,0.00012749,0.00012749,0.00012749
31,3272.2,0.80623,0.47806,0.90004,0.94963,0.95378,0.98455,0.77459,0.80006,0.4147,0.89401,0.000124303,0.000124303,0.000124303
32,3377.14,0.79859,0.4619,0.90491,0.94875,0.96725,0.98079,0.77084,0.81841,0.40656,0.89776,0.000121063,0.000121063,0.000121063
33,3481.51,0.799,0.46752,0.89314,0.94703,0.96585,0.97959,0.76194,0.83345,0.41005,0.90232,0.000117775,0.000117775,0.000117775
34,3586.2,0.79419,0.46034,0.89544,0.95628,0.96618,0.98279,0.76787,0.8305,0.40131,0.90412,0.000114446,0.000114446,0.000114446
35,3689.93,0.78202,0.44423,0.89445,0.94826,0.97636,0.98282,0.76576,0.83676,0.39588,0.90464,0.000111079,0.000111079,0.000111079
36,3795.46,0.78549,0.43903,0.89261,0.94902,0.97984,0.98067,0.76009,0.85788,0.39636,0.91036,0.000107681,0.000107681,0.000107681
37,3899.92,0.76654,0.43668,0.89222,0.95341,0.97504,0.98619,0.75835,0.85788,0.40232,0.90601,0.000104256,0.000104256,0.000104256
38,4005.77,0.76504,0.42645,0.88958,0.94931,0.96893,0.9833,0.78237,0.79288,0.38979,0.89068,0.000100809,0.000100809,0.000100809
39,4111.74,0.77344,0.43178,0.89337,0.95316,0.96996,0.98359,0.7789,0.79731,0.38428,0.89167,9.73469e-05,9.73469e-05,9.73469e-05
40,4216.95,0.77933,0.42963,0.89077,0.95758,0.9633,0.9863,0.77227,0.83485,0.39434,0.901,9.38736e-05,9.38736e-05,9.38736e-05
41,4321.23,0.75527,0.42003,0.8851,0.94685,0.97629,0.98566,0.77399,0.80152,0.38878,0.89848,9.0395e-05,9.0395e-05,9.0395e-05
42,4426.31,0.75405,0.41804,0.88233,0.95181,0.97407,0.98275,0.77426,0.80343,0.38361,0.89775,8.69164e-05,8.69164e-05,8.69164e-05
43,4531.78,0.74834,0.41762,0.88394,0.95008,0.97654,0.98543,0.77503,0.80094,0.38449,0.89523,8.34431e-05,8.34431e-05,8.34431e-05
44,4637.43,0.74777,0.41714,0.88706,0.95626,0.97759,0.9893,0.79117,0.77097,0.37381,0.88625,7.99806e-05,7.99806e-05,7.99806e-05
45,4743.82,0.74452,0.41317,0.88054,0.94653,0.96563,0.98703,0.7806,0.80039,0.37924,0.89324,7.65341e-05,7.65341e-05,7.65341e-05
46,4848.52,0.74333,0.40365,0.88526,0.94676,0.97667,0.98835,0.78566,0.80325,0.37559,0.89269,7.3109e-05,7.3109e-05,7.3109e-05
47,4953.23,0.74073,0.40653,0.88268,0.95669,0.96947,0.9856,0.7904,0.7783,0.37783,0.88499,6.97106e-05,6.97106e-05,6.97106e-05
48,5057.34,0.74779,0.40712,0.88642,0.95103,0.97661,0.98937,0.78637,0.79947,0.37373,0.88976,6.6344e-05,6.6344e-05,6.6344e-05
49,5162.63,0.74139,0.40574,0.882,0.95991,0.97526,0.98956,0.79076,0.7911,0.37413,0.88944,6.30145e-05,6.30145e-05,6.30145e-05
50,5269.01,0.72522,0.39421,0.87234,0.95805,0.97905,0.98764,0.78998,0.77466,0.36476,0.88293,5.97273e-05,5.97273e-05,5.97273e-05
51,5373.83,0.72554,0.39227,0.87654,0.9561,0.97844,0.98692,0.79331,0.77128,0.36504,0.88233,5.64873e-05,5.64873e-05,5.64873e-05
52,5479.14,0.71791,0.38684,0.87298,0.96323,0.97337,0.98834,0.78751,0.79321,0.36999,0.88969,5.32997e-05,5.32997e-05,5.32997e-05
53,5583.78,0.71042,0.38858,0.86721,0.95592,0.97756,0.98497,0.79565,0.77112,0.36017,0.88534,5.01692e-05,5.01692e-05,5.01692e-05
54,5688.43,0.7226,0.38874,0.87206,0.95357,0.97401,0.98547,0.7936,0.77896,0.36108,0.88508,4.71007e-05,4.71007e-05,4.71007e-05
55,5793.44,0.70981,0.37527,0.87034,0.96172,0.97644,0.98976,0.78778,0.79147,0.35897,0.88807,4.4099e-05,4.4099e-05,4.4099e-05
56,5898.61,0.70537,0.37674,0.87305,0.9633,0.97726,0.98927,0.79032,0.7894,0.36332,0.88839,4.11687e-05,4.11687e-05,4.11687e-05
57,6002.76,0.70236,0.38108,0.86848,0.96293,0.98266,0.98895,0.78887,0.7737,0.35395,0.88346,3.83143e-05,3.83143e-05,3.83143e-05
58,6107.28,0.69519,0.36858,0.87064,0.96707,0.97155,0.98959,0.79513,0.77508,0.35537,0.88202,3.55402e-05,3.55402e-05,3.55402e-05
59,6212.22,0.69307,0.36586,0.865,0.95852,0.98289,0.98991,0.79086,0.78558,0.35613,0.88619,3.28507e-05,3.28507e-05,3.28507e-05
60,6315.79,0.68636,0.37176,0.86204,0.96569,0.98076,0.98961,0.79221,0.782,0.35492,0.88713,3.02499e-05,3.02499e-05,3.02499e-05
61,6419.91,0.69513,0.36956,0.86607,0.96619,0.97297,0.98888,0.79036,0.78473,0.35434,0.8864,2.77418e-05,2.77418e-05,2.77418e-05
62,6524.63,0.68354,0.36075,0.8634,0.96063,0.97748,0.98736,0.79357,0.76714,0.35161,0.88143,2.53304e-05,2.53304e-05,2.53304e-05
63,6629.17,0.67692,0.35563,0.86036,0.96864,0.97184,0.98716,0.79596,0.76674,0.34993,0.88212,2.30192e-05,2.30192e-05,2.30192e-05
64,6734.59,0.68073,0.35971,0.86296,0.96731,0.97376,0.98827,0.7959,0.76972,0.35284,0.88353,2.0812e-05,2.0812e-05,2.0812e-05
65,6840.59,0.67683,0.3613,0.86242,0.96526,0.97624,0.99044,0.79651,0.77035,0.35127,0.88466,1.8712e-05,1.8712e-05,1.8712e-05
66,6945.68,0.6755,0.35581,0.85764,0.97021,0.97767,0.99022,0.80023,0.75164,0.34488,0.88121,1.67226e-05,1.67226e-05,1.67226e-05
67,7049.77,0.67608,0.35694,0.85936,0.96409,0.97902,0.98962,0.79723,0.77268,0.35048,0.88689,1.48468e-05,1.48468e-05,1.48468e-05
68,7154.72,0.67123,0.35636,0.86095,0.96389,0.97252,0.98802,0.79577,0.77177,0.3499,0.88574,1.30875e-05,1.30875e-05,1.30875e-05
69,7258.98,0.66873,0.35152,0.86246,0.96645,0.97362,0.98975,0.80067,0.76819,0.34559,0.88514,1.14474e-05,1.14474e-05,1.14474e-05
70,7365.4,0.68025,0.35393,0.86096,0.96951,0.97504,0.98985,0.80319,0.75533,0.34525,0.88162,9.92897e-06,9.92897e-06,9.92897e-06
71,7480.57,0.65476,0.33483,0.86903,0.96138,0.98017,0.98919,0.79235,0.7838,0.3567,0.88876,8.53465e-06,8.53465e-06,8.53465e-06
72,7585.88,0.64139,0.32879,0.86508,0.96243,0.97841,0.98962,0.79588,0.77203,0.35292,0.88662,7.26656e-06,7.26656e-06,7.26656e-06
73,7690.36,0.63583,0.32301,0.86492,0.96295,0.97778,0.98891,0.79791,0.76518,0.35048,0.88338,6.12664e-06,6.12664e-06,6.12664e-06
74,7795.59,0.63991,0.32285,0.86251,0.96184,0.97827,0.98917,0.79721,0.76411,0.34983,0.88291,5.11665e-06,5.11665e-06,5.11665e-06
75,7900.12,0.62855,0.31577,0.85486,0.96251,0.9783,0.98886,0.79487,0.77379,0.35155,0.88552,4.23816e-06,4.23816e-06,4.23816e-06
76,8004.59,0.63817,0.32485,0.86268,0.96204,0.9783,0.98881,0.7998,0.76292,0.349,0.88358,3.49252e-06,3.49252e-06,3.49252e-06
77,8111.13,0.63276,0.32032,0.85856,0.9629,0.97516,0.98846,0.79846,0.7603,0.34771,0.88205,2.88087e-06,2.88087e-06,2.88087e-06
78,8215.05,0.63372,0.31965,0.86082,0.9608,0.97694,0.98851,0.79648,0.76746,0.34832,0.88406,2.40417e-06,2.40417e-06,2.40417e-06
79,8317.88,0.62933,0.32093,0.86385,0.96346,0.97434,0.98853,0.79786,0.76685,0.34679,0.88376,2.06314e-06,2.06314e-06,2.06314e-06
80,8424.05,0.62751,0.31946,0.85628,0.96275,0.97533,0.98888,0.79918,0.76124,0.34628,0.8822,1.85831e-06,1.85831e-06,1.85831e-06
