epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.414,1.15344,6.71001,0.97697,0.62558,0.30229,0.31055,0.22272,0.9987,1.63083,0.94531,5.94796e-05,5.94796e-05,5.94796e-05
2,238.991,1.02499,2.35444,0.94635,0.76921,0.49255,0.56914,0.41993,0.93199,1.06628,0.93182,0.000119117,0.000119117,0.000119117
3,344.623,0.9894,1.61057,0.9303,0.80077,0.68208,0.7434,0.5548,0.8997,0.84192,0.91955,0.000178638,0.000178638,0.000178638
4,457.222,0.95495,1.20888,0.92873,0.78064,0.76695,0.83699,0.60518,0.92821,0.76936,0.94089,0.000178607,0.000178607,0.000178607
5,575.85,0.94976,1.04184,0.93058,0.84827,0.82923,0.86828,0.6583,0.87618,0.63911,0.91599,0.000178301,0.000178301,0.000178301
6,685.461,0.92906,0.89107,0.92299,0.85338,0.83941,0.89063,0.67142,0.85225,0.5906,0.91939,0.000177909,0.000177909,0.000177909
7,791.06,0.90952,0.84366,0.91324,0.8594,0.86481,0.93566,0.70529,0.8419,0.56526,0.91618,0.000177431,0.000177431,0.000177431
8,897.102,0.89877,0.77604,0.92021,0.89901,0.8398,0.95259,0.72783,0.82682,0.547,0.90435,0.000176866,0.000176866,0.000176866
9,1002.54,0.89018,0.72269,0.91546,0.91643,0.90346,0.97059,0.7439,0.82648,0.49964,0.90409,0.000176216,0.000176216,0.000176216
10,1108.55,0.87875,0.6894,0.9123,0.91155,0.93091,0.97247,0.74812,0.82505,0.48958,0.90349,0.000175482,0.000175482,0.000175482
11,1214.62,0.8631,0.66046,0.90939,0.92483,0.92354,0.97015,0.7474,0.81618,0.48176,0.90702,0.000174663,0.000174663,0.000174663
12,1319.96,0.85108,0.63221,0.90071,0.9053,0.93451,0.96889,0.7519,0.80755,0.47999,0.90393,0.000173762,0.000173762,0.000173762
13,1425.62,0.84195,0.61707,0.89728,0.90757,0.92438,0.97629,0.75885,0.81619,0.47195,0.90467,0.000172778,0.000172778,0.000172778
